title,source,permission,author,description,date,medium,dimensions,institution,department,notes,accession number
"Verso_Maryland_4 dollars_1774","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362508/urn-3:HBS.Baker.AC:1083641/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362508_urn-3:HBS.Baker.AC:1083641 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362508_urn-3:HBS.Baker.AC:1083641","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, Frederick (1750-1811) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print containing branch with limbs and leaf with initials I G.","1774","ink on paper","6.2 x 11.6 cm.","Q49126","Q42377658","citation: Maryland, 4 dollars, 1774, 1774. Baker Library, Harvard Business School, Historical Collections, 1-02/4, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362508_urn-3:HBS.Baker.AC:1083641"
"Recto_Maryland_4 dollars_1770","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362621/urn-3:HBS.Baker.AC:1083642/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362621_urn-3:HBS.Baker.AC:1083642 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362621_urn-3:HBS.Baker.AC:1083642","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print with two different leaves, the initials ""IG"" visible in smaller leaf.","1770","ink on paper","6.6 x 11.7 cm.","Q49126","Q42377658","citation: Maryland, 4 dollars, 1770, 1770. Baker Library, Harvard Business School, Historical Collections, 1-01/2, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362621_urn-3:HBS.Baker.AC:1083642"
"Verso_Maryland_4 dollars_1770","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362621/urn-3:HBS.Baker.AC:1083643/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362621_urn-3:HBS.Baker.AC:1083643 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362621_urn-3:HBS.Baker.AC:1083643","Rights Statements in evaluation, waiting for OGC. No permission granted.","Green, Anne Catharine (-1775) producer ; Green, William (1746-1770) producer ; Green, Jonas (1712-1767) producer ; Sparrow, Thomas, producer ; Maryland, associated name","Verso: nature print with two different leaves, the initials ""IG"" visible in smaller leaf.","1770","ink on paper","6.6 x 11.7 cm.","Q49126","Q42377658","citation: Maryland, 4 dollars, 1770, 1770. Baker Library, Harvard Business School, Historical Collections, 1-01/2, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362621_urn-3:HBS.Baker.AC:1083643"
"Recto_Pennsylvania_2 shillings 6 pence_1772","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362622/urn-3:HBS.Baker.AC:1083644/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362622_urn-3:HBS.Baker.AC:1083644 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362622_urn-3:HBS.Baker.AC:1083644","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Recto: alternate spelling of Pennsylvania: ""Pensylvania"". Numerals ""2.6"" embedded in border pattern. Illegible text in left border. Verso: contains rectangular area with chevron pattern and a border decoration consisting of two rows of small spirals.","1772","ink on paper","7.7 x 8.9 cm","Q49126","Q42377658","citation: Pennsylvania, 2 shillings 6 pence, 1772, 1772. Baker Library, Harvard Business School, Historical Collections, 1-03/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362622_urn-3:HBS.Baker.AC:1083644"
"Verso_Pennsylvania_2 shillings 6 pence_1772","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362622/urn-3:HBS.Baker.AC:1083645/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362622_urn-3:HBS.Baker.AC:1083645 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362622_urn-3:HBS.Baker.AC:1083645","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Recto: alternate spelling of Pennsylvania: ""Pensylvania"". Numerals ""2.6"" embedded in border pattern. Illegible text in left border. Verso: contains rectangular area with chevron pattern and a border decoration consisting of two rows of small spirals.","1772","ink on paper","7.7 x 8.9 cm","Q49126","Q42377658","citation: Pennsylvania, 2 shillings 6 pence, 1772, 1772. Baker Library, Harvard Business School, Historical Collections, 1-03/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362622_urn-3:HBS.Baker.AC:1083645"
"Recto_Pennsylvania_5 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362625/urn-3:HBS.Baker.AC:1083646/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362625_urn-3:HBS.Baker.AC:1083646 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362625_urn-3:HBS.Baker.AC:1083646","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""A CROWN"" embedded in border decoration. An image of a crown is placed in the word, ""Majesty"". Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","6.9 x 9.2 cm.","Q49126","Q42377658","citation: Pennsylvania, 5 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/2, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362625_urn-3:HBS.Baker.AC:1083646"
"Verso_Pennsylvania_5 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362625/urn-3:HBS.Baker.AC:1083647/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362625_urn-3:HBS.Baker.AC:1083647 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362625_urn-3:HBS.Baker.AC:1083647","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""A CROWN"" embedded in border decoration. An image of a crown is placed in the word, ""Majesty"". Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","6.9 x 9.2 cm.","Q49126","Q42377658","citation: Pennsylvania, 5 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/2, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362625_urn-3:HBS.Baker.AC:1083647"
"Recto_Pennsylvania_2 shillings 6 pence_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362626/urn-3:HBS.Baker.AC:1083648/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362626_urn-3:HBS.Baker.AC:1083648 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362626_urn-3:HBS.Baker.AC:1083648","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink.  Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","7.1 x 8.9 cm.","Q49126","Q42377658","citation: Pennsylvania, 2 shillings 6 pence, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/3, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362626_urn-3:HBS.Baker.AC:1083648"
"Verso_Pennsylvania_2 shillings 6 pence_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362626/urn-3:HBS.Baker.AC:1083649/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362626_urn-3:HBS.Baker.AC:1083649 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362626_urn-3:HBS.Baker.AC:1083649","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink.  Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","7.1 x 8.9 cm.","Q49126","Q42377658","citation: Pennsylvania, 2 shillings 6 pence, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/3, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362626_urn-3:HBS.Baker.AC:1083649"
"Recto_Pennsylvania_10 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362627/urn-3:HBS.Baker.AC:1083650/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362627_urn-3:HBS.Baker.AC:1083650 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362627_urn-3:HBS.Baker.AC:1083650","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""TEN SHILLINGS"" embedded in border decoration. Roman numeral X is revealed in red ink in body of text. Pennsylvania is spelled, ""Pensylvania"". Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","8.9 x 6.9 cm.","Q49126","Q42377658","citation: Pennsylvania, 10 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/4, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362627_urn-3:HBS.Baker.AC:1083650"
"Verso_Pennsylvania_10 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362627/urn-3:HBS.Baker.AC:1083651/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362627_urn-3:HBS.Baker.AC:1083651 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362627_urn-3:HBS.Baker.AC:1083651","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""TEN SHILLINGS"" embedded in border decoration. Roman numeral X is revealed in red ink in body of text. Pennsylvania is spelled, ""Pensylvania"". Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","8.9 x 6.9 cm.","Q49126","Q42377658","citation: Pennsylvania, 10 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/4, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362627_urn-3:HBS.Baker.AC:1083651"
"Recto_Pennsylvania_20 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362629/urn-3:HBS.Baker.AC:1083652/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362629_urn-3:HBS.Baker.AC:1083652 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362629_urn-3:HBS.Baker.AC:1083652","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""TWENTY SHILLINGS"" embedded in border decoration. Roman numeral I is revealed in red ink in body of text.  Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","9.1 x 7 cm.","Q49126","Q42377658","citation: Pennsylvania, 20 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/5, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362629_urn-3:HBS.Baker.AC:1083652"
"Verso_Pennsylvania_20 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362629/urn-3:HBS.Baker.AC:1083653/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362629_urn-3:HBS.Baker.AC:1083653 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362629_urn-3:HBS.Baker.AC:1083653","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""TWENTY SHILLINGS"" embedded in border decoration. Roman numeral I is revealed in red ink in body of text.  Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","9.1 x 7 cm.","Q49126","Q42377658","citation: Pennsylvania, 20 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-03/5, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362629_urn-3:HBS.Baker.AC:1083653"
"Recto_Pennsylvania_15 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362631/urn-3:HBS.Baker.AC:1083654/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362631_urn-3:HBS.Baker.AC:1083654 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362631_urn-3:HBS.Baker.AC:1083654","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""Fifteen Shillings"" embedded in border decoration. Layered Roman numeral XV  is revealed in red ink in body of text. Pennsylvania is spelled, ""Pensylvania"". Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","9.2 x 6.9 cm.","Q49126","Q42377658","citation: Pennsylvania, 15 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-04/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362631_urn-3:HBS.Baker.AC:1083654"
"Verso_Pennsylvania_15 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362631/urn-3:HBS.Baker.AC:1083655/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362631_urn-3:HBS.Baker.AC:1083655 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362631_urn-3:HBS.Baker.AC:1083655","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""Fifteen Shillings"" embedded in border decoration. Layered Roman numeral XV  is revealed in red ink in body of text. Pennsylvania is spelled, ""Pensylvania"". Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","9.2 x 6.9 cm.","Q49126","Q42377658","citation: Pennsylvania, 15 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-04/1, Mss :78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362631_urn-3:HBS.Baker.AC:1083655"
"Recto_Pennsylvania_50 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362632/urn-3:HBS.Baker.AC:1083656/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362632_urn-3:HBS.Baker.AC:1083656 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362632_urn-3:HBS.Baker.AC:1083656","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""Fifty Shillings"" and ""Fifty Shill"" embedded in border decoration. Roman numeral L is revealed in red ink in body of text. Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","8.9 x 6.7 cm.","Q49126","Q42377658","citation: Pennsylvania, 50 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-04/2, Mss: 78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Recto.","MH:VIA W362632_urn-3:HBS.Baker.AC:1083656"
"Verso_Pennsylvania_50 shillings_1773","Harvard Hollis Images: https://id.lib.harvard.edu/images/olvwork362632/urn-3:HBS.Baker.AC:1083657/catalog - Harvard Digital Collections: https://id.lib.harvard.edu/digital_collections/W362632_urn-3:HBS.Baker.AC:1083657 - American Currency: https://id.lib.harvard.edu/curiosity/american-currency/66-W362632_urn-3:HBS.Baker.AC:1083657","Rights Statements in evaluation, waiting for OGC. No permission granted.","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; Pennsylvania, associated name","Paper contains mica flakes. Printing in red and black ink. The words, ""Fifty Shillings"" and ""Fifty Shill"" embedded in border decoration. Roman numeral L is revealed in red ink in body of text. Verso: contains print of pastoral scene with farm building, receding storm cloud, rainbow, and sunburst.","1773","ink on paper","8.9 x 6.7 cm.","Q49126","Q42377658","citation: Pennsylvania, 50 shillings, 1773, 1773. Baker Library, Harvard Business School, Historical Collections, 1-04/2, Mss: 78 C 1709-1868 976. American Currency Collection. Development of American Capitalism--Money and banking. Verso.","MH:VIA W362632_urn-3:HBS.Baker.AC:1083657"
