"SSID","Filename","Work[33419]","Creator[33420]","Culture[33421]","Title[33422]","Image View Description[33423]","Image View Type[33424]","Date Description[33425]","ARTstor Earliest Date[33426]","ARTstor Latest Date[33427]","Style/Period[33428]","Materials/Techniques[33429]","Measurements[33430]","Artstor Classification[33431]","Work Type[33432]","Repository[33433]","Repository Accession Number[33434]","Location[33435]","Creation/Discovery Site[33436]","Artstor Country[33440]","Description[33441]","Subject[33442]","Relationships[33443]","Reference Sources[33444]","Photographer[33445]","Image Date[33446]","Rights[33447]","Repository Classification Number[33448]","Image Repository[33449]","Image Collection[33450]","Image Accession Number[33451]","Image Accession Date[33452]","Image Classification Number[33453]","Image Type[33454]","Image Associated Name[33455]","Image Start Year[33456]","Image Measurements[33457]","Image End Year[33458]","Image Materials[33459]","Image Support[33460]","Image Subject[33461]","Image Rights[33462]","Image Credit[33463]","Image Notes[33464]","In House Notes[33465]","Send To Harvard[33466]","In House Use Only[33467]","Additional Formats[33470]","Olivia ID[33471]","Olivia Record Info[33472]","Image Requester[33473]","Image Request Date[33474]","Image Source ID[33475]","Image Source Type[33476]","Image Provider[33477]","Image Source Title[33478]","Image Source Alternate Title[33479]","Image Source Author[33480]","Image Source Edition[33481]","Image Source Place Of Publication[33482]","Image Source Publisher[33483]","Image Source Publication Date[33484]","Image Source Date[33485]","Image Source Series Title[33486]","Image Source Reference Number[33487]","Image Source Call Numbers[33488]","Image Source Notes[33489]","Image Source Record Created By[33490]","Volume[33491]","Issue Number[33492]","Year[33493]","Page Plate Number[33494]","Export Only In Group[33495]","Image Technique[33496]","Media URL"
"4083031","drs:urn-3:HBS.Baker.AC:1083792","8000168209","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 3 dollars, 1776","Recto",,"1776",1776,1776,,"ink on paper","7.4 x 9.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/2",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of leaves and fruit. ; Inscription:“THREE DOLLARS. THIS Bill entitles the BEARER to receive Three SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of CONGRESS, passed at Philadelphia, Nov. 2, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “EXITUS IN DUBIO EST”. ; Verso: “THREE DOLLARS. Philadelphia: PRINTED BY Hall & Sellers. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""10717"" in red ink and two signatures, one in red ink, the other in brown ink.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; birds ; battles ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363070_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4083031/representation-view"
"4083032","drs:urn-3:HBS.Baker.AC:1083793","8000168209","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 3 dollars, 1776","Verso",,"1776",1776,1776,,"ink on paper","7.4 x 9.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/2",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of leaves and fruit. ; Inscription:“THREE DOLLARS. THIS Bill entitles the BEARER to receive Three SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of CONGRESS, passed at Philadelphia, Nov. 2, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “EXITUS IN DUBIO EST”. ; Verso: “THREE DOLLARS. Philadelphia: PRINTED BY Hall & Sellers. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""10717"" in red ink and two signatures, one in red ink, the other in brown ink.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; birds ; battles ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363070_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4083032/representation-view"
"4082762","drs:urn-3:HBS.Baker.AC:1083794","8000167997","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 5 dollars, 1776","Recto",,"1776",1776,1776,,"ink on paper","7.1 x 9.4 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/3",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of two different leaves. ; Inscription:“FIVE DOLLARS. THIS Bill entitles the Bearer to receive FIVE SPANISH MILLED DOLLARS, or the Value thereof in GOLD or SILVER, according to a Resolution of CONGRESS, passed at Philadelphia, Nov. 2, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SUSTINE VEL ABSTINE”. ; Verso: “FIVE DOLLARS. PHILADELPHIA: Printed by HALL and SELLERS. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""33[ ]8[ ]"" in red ink and two signatures, one in red ink, the other in brown.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; hands ; plants ; blood ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363072_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4082762/representation-view"
"4082763","drs:urn-3:HBS.Baker.AC:1083795","8000167997","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 5 dollars, 1776","Verso",,"1776",1776,1776,,"ink on paper","7.1 x 9.4 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/3",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of two different leaves. ; Inscription:“FIVE DOLLARS. THIS Bill entitles the Bearer to receive FIVE SPANISH MILLED DOLLARS, or the Value thereof in GOLD or SILVER, according to a Resolution of CONGRESS, passed at Philadelphia, Nov. 2, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SUSTINE VEL ABSTINE”. ; Verso: “FIVE DOLLARS. PHILADELPHIA: Printed by HALL and SELLERS. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""33[ ]8[ ]"" in red ink and two signatures, one in red ink, the other in brown.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; hands ; plants ; blood ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363072_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4082763/representation-view"
"4083916","drs:urn-3:HBS.Baker.AC:1083796","8000168893","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 30 dollars, 1776","Recto",,"1776",1776,1776,,"ink on paper","7.2 x 9.5 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/4",,,,"Paper contains mica flakes and blue threads._x000D_Verso: two emblems ; Inscription:“THIRTY DOLLARS. This BILL entitles the Bearer to receive THIRTY Spanish milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of Congress, passed at Philadelphia, November 2, 1776. XXX DOLLARS..” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SI RECTE FACIES”. ; Verso: “THIRTY DOLLARS. Philadelphia: Printed by Hall and Sellers.” ; Verso: within left circle: ""VI CONCITATE"". Within right circle: ""CESSANTE VENTO CONQUIESCEMUS"" ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""74118"" in red ink and two signatures, one in brown ink, the other in red.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; wreaths ; tombs ; sunbursts ; sailing vessels ; wind ; waves ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection ; Part of:Continental Currency, United Colonies, 1775-1778",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363073_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4083916/representation-view"
"4083917","drs:urn-3:HBS.Baker.AC:1083797","8000168893","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 30 dollars, 1776","Verso",,"1776",1776,1776,,"ink on paper","7.2 x 9.5 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/4",,,,"Paper contains mica flakes and blue threads._x000D_Verso: two emblems ; Inscription:“THIRTY DOLLARS. This BILL entitles the Bearer to receive THIRTY Spanish milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of Congress, passed at Philadelphia, November 2, 1776. XXX DOLLARS..” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SI RECTE FACIES”. ; Verso: “THIRTY DOLLARS. Philadelphia: Printed by Hall and Sellers.” ; Verso: within left circle: ""VI CONCITATE"". Within right circle: ""CESSANTE VENTO CONQUIESCEMUS"" ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""74118"" in red ink and two signatures, one in brown ink, the other in red.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; wreaths ; tombs ; sunbursts ; sailing vessels ; wind ; waves ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection ; Part of:Continental Currency, United Colonies, 1775-1778",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363073_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4083917/representation-view"
"4085633","drs:urn-3:HBS.Baker.AC:1083798","8000170218","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 30 dollars, 1776","Recto",,"1776",1776,1776,,"ink on paper","7.4 x 9.7 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/5",,,,"Paper contains mica flakes and blue threads._x000D_Verso: two emblems. ; Inscription:“Thirty Dollars. This BILL entitles the Bearer to receive THIRTY Spanish milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of Congress, passed at Philadelphia, November 2, 1776. XXX DOLLARS..” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SI RECTE FACIES”. ; Verso: “THIRTY DOLLARS. Philadelphia: Printed by Hall and Sellers.” ; Verso: within left circle: ""VI CONCITATE"". Within right circle: ""CESSANTE VENTO CONQUIESCEMUS"" ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""18653"" in brown ink and two signatures, one in red ink, the other in brown ink.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; tombs ; sunbursts ; sailing vessels ; wind ; waves ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection ; Part of:Continental Currency, United Colonies, 1775-1778",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363078_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4085633/representation-view"
"4085635","drs:urn-3:HBS.Baker.AC:1083799","8000170218","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 30 dollars, 1776","Verso",,"1776",1776,1776,,"ink on paper","7.4 x 9.7 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-14/5",,,,"Paper contains mica flakes and blue threads._x000D_Verso: two emblems. ; Inscription:“Thirty Dollars. This BILL entitles the Bearer to receive THIRTY Spanish milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of Congress, passed at Philadelphia, November 2, 1776. XXX DOLLARS..” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SI RECTE FACIES”. ; Verso: “THIRTY DOLLARS. Philadelphia: Printed by Hall and Sellers.” ; Verso: within left circle: ""VI CONCITATE"". Within right circle: ""CESSANTE VENTO CONQUIESCEMUS"" ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""18653"" in brown ink and two signatures, one in red ink, the other in brown ink.","money ; paper money ; bills of exchange ; inscriptions, Latin ; borders (ornamental areas) ; patterns (design elements) ; tombs ; sunbursts ; sailing vessels ; wind ; waves ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection ; Part of:Continental Currency, United Colonies, 1775-1778",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363078_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4085635/representation-view"
"4088804","drs:urn-3:HBS.Baker.AC:1083800","8000172673","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 7 dollars, 1776","Recto",,"1776",1776,1776,,"ink on paper","7.5 x 9.4 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-15/1",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of a single leaf. ; Inscription:“SEVEN DOLLARS. THIS Bill entitles the Bearer to receive SEVEN SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of CONGRESS, passed at Philadelphia February 17, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SERENABIT”. ; Verso: “SEVEN DOLLARS. PHILADELPHIA: Printed by HALL and SELLERS. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""20832"" in red ink and two signatures, one in red ink, the other in brown.","money ; paper money ; bills of exchange ; inscriptions, Latin ; storms ; seas ; leaves ; borders (ornamental areas) ; patterns (design elements) ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363079_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4088804/representation-view"
"4088805","drs:urn-3:HBS.Baker.AC:1083801","8000172673","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 7 dollars, 1776","Verso",,"1776",1776,1776,,"ink on paper","7.5 x 9.4 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-15/1",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of a single leaf. ; Inscription:“SEVEN DOLLARS. THIS Bill entitles the Bearer to receive SEVEN SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of CONGRESS, passed at Philadelphia February 17, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SERENABIT”. ; Verso: “SEVEN DOLLARS. PHILADELPHIA: Printed by HALL and SELLERS. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""20832"" in red ink and two signatures, one in red ink, the other in brown.","money ; paper money ; bills of exchange ; inscriptions, Latin ; storms ; seas ; leaves ; borders (ornamental areas) ; patterns (design elements) ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363079_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4088805/representation-view"
"4084454","drs:urn-3:HBS.Baker.AC:1083802","8000169310","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United States, 7 dollars, 1778","Recto",,"1778",1778,1778,,"ink on paper","7.2 x 9.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-15/2",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of two different leaves. ; Inscription:“SEVEN DOLLARS. THIS Bill entitles the Bearer to receive SEVEN SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution passed by CONGRESS, at PHILADELPHIA, September 26th, 1778.” ; Within border cuts: ""Continental Currency"" and ""The United States"". ; Within circle: “SERENABIT”. ; Verso: “SEVEN DOLLARS. Printed by HALL and SELLERS. 1778.” ; State/Edition:The United States, 1778 ; Note - General:Note in manuscript: issue number ""141345"" in red ink and two signatures, one in brown ink, the other in red.","money ; paper money ; bills of exchange ; inscriptions, Latin ; storms ; seas ; borders (ornamental areas) ; patterns (design elements) ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363080_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4084454/representation-view"
"4084455","drs:urn-3:HBS.Baker.AC:1083803","8000169310","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United States, 7 dollars, 1778","Verso",,"1778",1778,1778,,"ink on paper","7.2 x 9.6 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-15/2",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of two different leaves. ; Inscription:“SEVEN DOLLARS. THIS Bill entitles the Bearer to receive SEVEN SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution passed by CONGRESS, at PHILADELPHIA, September 26th, 1778.” ; Within border cuts: ""Continental Currency"" and ""The United States"". ; Within circle: “SERENABIT”. ; Verso: “SEVEN DOLLARS. Printed by HALL and SELLERS. 1778.” ; State/Edition:The United States, 1778 ; Note - General:Note in manuscript: issue number ""141345"" in red ink and two signatures, one in brown ink, the other in red.","money ; paper money ; bills of exchange ; inscriptions, Latin ; storms ; seas ; borders (ornamental areas) ; patterns (design elements) ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363080_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4084455/representation-view"
"4085696","drs:urn-3:HBS.Baker.AC:1083804","8000170265","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 7 dollars, 1776","Recto",,"1776",1776,1776,,"ink on paper","7.4 x 9.7 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-15/3",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of a single leaf. ; Inscription:“SEVEN DOLLARS. THIS Bill entitles the Bearer to receive SEVEN SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of CONGRESS, passed at Philadelphia February 17, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SERENABIT”. ; Verso: “SEVEN DOLLARS. PHILADELPHIA: Printed by HALL and SELLERS. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""39389"" in red ink and two signatures, one in red ink, the other in brown.","money ; paper money ; bills of exchange ; inscriptions, Latin ; storms ; seas ; leaves ; borders (ornamental areas) ; patterns (design elements) ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363081_1","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4085696/representation-view"
"4085697","drs:urn-3:HBS.Baker.AC:1083805","8000170265","Hall, David (1714-1772) producer ; Sellers, William (1725-1804) producer ; United States. Continental Congress., associated name",,"The United Colonies, 7 dollars, 1776","Verso",,"1776",1776,1776,,"ink on paper","7.4 x 9.7 cm.","Decorative Arts, Utilitarian Objects and Interior Design|Prints","currencies ; engravings","Baker Library, Harvard Business School, Historical Collections","1-15/3",,,,"Paper contains mica flakes and blue threads._x000D_Verso: nature print of a single leaf. ; Inscription:“SEVEN DOLLARS. THIS Bill entitles the Bearer to receive SEVEN SPANISH milled DOLLARS, or the Value thereof in Gold or Silver, according to a Resolution of CONGRESS, passed at Philadelphia February 17, 1776.” ; Within border cuts: ""Continental Currency"" and ""The United Colonies"". ; Within circle: “SERENABIT”. ; Verso: “SEVEN DOLLARS. PHILADELPHIA: Printed by HALL and SELLERS. 1776.” ; State/Edition:The United Colonies, 1776 ; Note - General:Note in manuscript: issue number ""39389"" in red ink and two signatures, one in red ink, the other in brown.","money ; paper money ; bills of exchange ; inscriptions, Latin ; storms ; seas ; leaves ; borders (ornamental areas) ; patterns (design elements) ; Continental currency. (Referred to as ""Continentals"").","Development of American Capitalism--Money and banking: http://www.library.hbs.edu/hc/ac ; part ofAmerican Currency Collection",,,,"Access Restrictions: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.","Mss :78 C 1709-1868 976","Baker Library, Harvard Business School, Historical Collections",,,,"Mss :78 C 1709-1868 976",,,,,,,,,,,,,1,0,,"W363081_2","Record created: 12/7/2006  By: dmurphy Record modified: 8/17/2007  By: wise Export To VIA Date: 8/18/2007",,,,,,,,,,,,,,,,,,,,,,,0,,"https://forum.jstor.org/assets/4085697/representation-view"
